_Annual_J-D_2019_____________ L-OTI(^S^o^N^C) Anomaly vs 2000-2001              
   i   j     lon     lat    array(i,j)
 161   1  141.00  -89.00        0.9754
 162   1  143.00  -89.00        0.9754
 163   1  145.00  -89.00        0.9754
 164   1  147.00  -89.00        0.9754
 165   1  149.00  -89.00        0.9754
 166   1  151.00  -89.00        0.9754
 167   1  153.00  -89.00        0.9754
 168   1  155.00  -89.00        0.9754
 169   1  157.00  -89.00        0.9754
 170   1  159.00  -89.00        0.9754
 171   1  161.00  -89.00        0.9754
 172   1  163.00  -89.00        0.9754
 173   1  165.00  -89.00        0.9754
 174   1  167.00  -89.00        0.9754
 175   1  169.00  -89.00        0.9754
 176   1  171.00  -89.00        0.9754
 177   1  173.00  -89.00        0.9754
 178   1  175.00  -89.00        0.9754
 179   1  177.00  -89.00        0.9754
 180   1  179.00  -89.00        0.9754
   1   2 -179.00  -87.00        0.9754
   2   2 -177.00  -87.00        0.9754
   3   2 -175.00  -87.00        0.9754
   4   2 -173.00  -87.00        0.9754
   5   2 -171.00  -87.00        0.9754
   6   2 -169.00  -87.00        0.9754
   7   2 -167.00  -87.00        0.9754
   8   2 -165.00  -87.00        0.9754
   9   2 -163.00  -87.00        0.9754
  10   2 -161.00  -87.00        0.9754
  11   2 -159.00  -87.00        0.9754
  12   2 -157.00  -87.00        0.9754
  13   2 -155.00  -87.00        0.9754
  14   2 -153.00  -87.00        0.9754
  15   2 -151.00  -87.00        0.9754
  16   2 -149.00  -87.00        0.9754
  17   2 -147.00  -87.00        0.9754
  18   2 -145.00  -87.00        0.9754
  19   2 -143.00  -87.00        0.9754
  20   2 -141.00  -87.00        0.9754
  21   2 -139.00  -87.00        0.9754
  22   2 -137.00  -87.00        0.9754
  23   2 -135.00  -87.00        0.9754
  24   2 -133.00  -87.00        0.9754
  25   2 -131.00  -87.00        0.9754
  26   2 -129.00  -87.00        0.9754
  27   2 -127.00  -87.00        0.9754
  28   2 -125.00  -87.00        0.9754
  29   2 -123.00  -87.00        0.9754
  30   2 -121.00  -87.00        0.9754
  31   2 -119.00  -87.00        0.9754
  32   2 -117.00  -87.00        0.9754
  33   2 -115.00  -87.00        0.9754
  34   2 -113.00  -87.00        0.9754
  35   2 -111.00  -87.00        0.9754
  36   2 -109.00  -87.00        0.9754
  37   2 -107.00  -87.00        0.9754
  38   2 -105.00  -87.00        0.9754
  39   2 -103.00  -87.00        0.9754
  40   2 -101.00  -87.00        0.9754
  41   2  -99.00  -87.00        0.9754
  42   2  -97.00  -87.00        0.9754
  43   2  -95.00  -87.00        0.9754
  44   2  -93.00  -87.00        0.9754
  45   2  -91.00  -87.00        0.9754
  46   2  -89.00  -87.00        0.9754
  47   2  -87.00  -87.00        0.9754
  48   2  -85.00  -87.00        0.9754
  49   2  -83.00  -87.00        0.9754
  50   2  -81.00  -87.00        0.9754
  51   2  -79.00  -87.00        0.9754
  52   2  -77.00  -87.00        0.9754
  53   2  -75.00  -87.00        0.9754
  54   2  -73.00  -87.00        0.9754
  55   2  -71.00  -87.00        0.9754
  56   2  -69.00  -87.00        0.9754
  57   2  -67.00  -87.00        0.9754
  58   2  -65.00  -87.00        0.9754
  59   2  -63.00  -87.00        0.9754
  60   2  -61.00  -87.00        0.9754
